"aabaadi","اٰبادي"
"ashgaal","اشغال"
"ishfaaq","اشفاق"
"ish-haar","اشهار"
"ashyaa","اشياء"
"as-haab","اصحاب"
"israar","اصرار"
"istefaa","اصطفاء"
"istefaa kerwu","اصطفاء"
"istelaah","اصطلاح"
"asgar","اصغر"
"asal","اصل"
"islaah","اصلاح"
"usool","اصول"
"idaafat","اضافة"
"izteraab","اضطراب"
"ad'aaffan muda'afa","اضعافاً مضاعفة"
"aatibba","اطبّاء"
"ittelaa","اطلاع"
"itmenaan","اطمئنان"
"izhaar","اظهار"
"i'aadat","اعادة"
"ae'tedaal","اعتدال"
"ae'traaz","اعتراض"
"ae'teraaf","اعتراف"
"ee'tesaam","اعتصام"
"ae'teqaad","اعتقاد"
"ae'tekaaf bhandwu","اعتكاف"
"ae'temaad","اعتماد"
"ae'tenaa","اعتناء"
"aa'daa","اعداء"
"e'raab","اعراب"
"aa'raabi","اعرابي"
"aaraabi","اعرابي"
"ae'raaz","اعراض"
"aa'daa","اعضاء"
"aa'zam","اعظم"
"aa'laam","اعلام"
"ae'laan","اعلان"
"aa'la","اعلىْ"
"aa'lallah o qudsahu","اعلىْ الله قدسه"
"aa'la illiyeen","اعلىْ عليين"
"aa'maa","اعمىْ"
"aa'waan","اعوان"
"aa'yaan","اعيان"
"igtenaam","اغتنام"
"agar","اغر"
"igmaaz","اغماض"
"agniyaa","اغنياء"
"agyaar","اغيار"
"uff kehwu","اف كهوؤ"
"ifadat-ifaadaat","افادة-افادات"
"iftetah","افتتاح"
"ifraat","افراط"
"afranj","افرنج"
"afsos","افسوس"
"afzal","افضل"
"iftaar","افطار"
"ufuq","افق"
"afkaar","افكار"
"aqaaleem","اقاليم"
"iqaamat","اقامة"
"iqbaal","اقبال"
"iqbaal kerwu","اقبال كروؤ"
"iqtebaas","اقتباس"
"iqtedaa","اقتداء"
"iqtesaad","اقتصاد"
"aqdaar","اقدار"
"iqraar","اقرار"
"aqrebaa","اقرباء"
"aqsaam","اقسام"
"aqsaa","اقصىْ"
"aqsal muna","اقصى المنىْ"
"aqsa umeed","اقصى اميد"
"aqtaar","اقطار"
"aqwaa","اقوىْ"
"akhaa","اكّها"
"akaaleem","اكاليم"
"akbar","اكبر"
"aksar","اكثر"
"ikraam","اكرام"
"ukhaarwu","اكهاروؤ"
"akela","اكيلا"
"akela","اكيلا"
"akela panu","اكيلاپنو"
"agaasi","اگاسي"
"ugaawo","اگاوؤ"
"agar","اگر"
"ugwu","اگوؤ"
"iltejaa","التجاء"
"iltefaat kerwu","التفات كروؤ"
"iltemaas","التماس"
"uljhan","الجهن"
"ilhaah","الحاح"
"ilzaam","الزام"
"as salaam o alaikum","السلام عليكم"
"altaaf","الطاف"
"ilhaam","الهام"
"alfaaz","الفاظ"
"alag","الگ"
"allah","الله"
"al moizziyatul qahera","المعزية القاهرة"
"aleem","اليم"
"imam uz zamaan","امام الزمان"
"amaan","امان"
"amaanat","امانة"
"amaani","اماني"
"ummat","امة"
"amate syedna","امة سيدناط ع"
"imtehaan","امتحان"
"imtedaad","امتداد"
"imtenaan","امتنان"
"amar","امر"
"imhaal","امهال"
"imkaan","امكان"
"amal","امل-امال"
"imlaa","املاء"
"aman","امن"
"umoor","امور"
"ummeed","اميد"
"ameer","امير"
"ameer ul juyush","امير الجيوش"
"ameerul mumineen","امير المؤمنين"
"anaaj","اناج"
"ananas","انانس"
"ananiyat","انانية"
"anbiyaa","انبياء"
"intekhaab","انتخاب"
"intezar","انتظار"
"intezaam","انتظام"
"inteqaam","انتقام"
"intehaa","انتهاء"
"anjaam","انجام"
"anjeer","انجير"
"injeel","انجيل"
"andaaz","انداز"
"undaan","اندان"
"andar","اندر"
"andhaaru","اندهارو"
"andaaz","انذار"
"insaan","انسان"
"insaaniyat","انسانية"
"anasat","انسة"
"insha","انشاء"
"inshallah","انشاء الله"
"ansaar","انصار"
"insaaf","انصاف"
"in'aam","انعام"
"inferaadi","انفرادي"
"inqeta'","انقطاع"
"inkaar","انكار"
"anginat","انگنت"
"angwa","انگوا"
"angutho","انگوتهو"
"anguthi","انگوتهي"
"aankh","انكهـ"
"ankeh kerwu","انكه كروؤ"
"anmol","انمول"
"anhaar","انهار"
"anwaar","انوار"
"ohbat","اهبة"
"ihtemaam","اهتمام"
"ahl","اهل"
"ahlul bait","اهل البيت"
"ahlul kitaab","اهل الكتاب"
"ahlul wala","اهل الولاء"
"ehem","اهم"
"ehmaal","اهمال"
"ihwu","اهوو"
"uuper","اوپر"
"oorwu","اوروؤ"
"awzaar","اوزار"
"awsaan","اوسان"
"awfar","اوفر"
"ukaalwu","اوكالوؤ"
"awwal","اول"
"awlaad","اولاد"
"oldaa","اولدٌا"
"olkhaan","اولكهان"
"ulul ilm","اولو العلم"
"awla","اولىْ"
"ulil amar","اولي الامر"
"awliyaa ullah","اولياء الله"
"awwaleen","اولين"
"uun","اون"
"untri","اونتري"
"uncho","اونچو"
"uunder","اوندر"
"uundu jaawu","اوندو جاوؤ"
"ayyaam","ايام"
"aithaas","ايتهاس"
"aij misal","ايجمثل"
"iezaa","ايذاء"
"iiraad","ايراد"
"aaizan","ايضاً"
"aik jewu","ايك جيوؤ"
"ekdam","ايكدم"
"eksaa","ايكسا"
"eaiki","ايكي"
"imaan","ايمان"
"eewaan","ايوان"
"aimmat tahireen","ائمة طاهرين"
"ba khaber rehwu","با خبر رهوؤ"
"baab","باب"
"baab ul abwaab","باب الابواب"
"babat","بابت"
"baap","باپ"
"baadaam","بادام"
"baadshah","بادشاه-بادشاهو"
"baadi","بادي"
"baarish","بارش"
"baare'","بارع"
"baarkash","باركش"
"baara ma","باره ما"
"baaraha","بارها"
"baari","باري"
"baareek","باريك"
"baaz rehwu","باز رهوؤ"
"baazaar","بازار"
"baazu","بازو"
"baazu ma","بازو  ما"
"baashinda","باشندا"
"baatil","باطل"
"batin","باطن"
"baag","باغ"
"baagi-bugaat","باغي-بغاة"
"baagicha","باغيچه"
"baaqi","باقي"
"baal","بال"
"baal baal","بال بال"
"bit tehqeeq","بالتحقيق"
"bizzabt","بالضبط"
"baalig","بالغ"
"baandhwu","باندهوؤ"
"baandi","باندي"
"baani","باني"
"baahir","باهر"
"baahosh","باهوش"
"bawaji","باواجي"
"bawajood","باوجود"
"baaye'","بائع"
"but","بت"
"but parasti","بت پرست"
"batawu","بتاوؤ"
"baja","بجا"
"bajawu","بجاوؤ"
"bujhawu","بجهاوؤ"
"bahbuhat","بحبوحة"
"behes","بحث"
"bachaawo","بچاوؤ"
"beher","بحر"
"ba hesiyat","بحيثية"
"bukhaar","بخار"
"bakht","بخت"
"bakhshish","بخشش"
"bakhswu","بخشوؤ"
"bukhul","بخل"
"bukhur","بخور"
"bukhoor daani","بخورداني"
"bakheel","بخيل"
"bachaao","بچاؤ"
"bachawnaar","بچاؤنار"
"bachpan","بچپن"
"bach'cha-bach'chao","بچه-بچاؤ"
"bichawu","بچهاوؤ"
"bichonu","بچهونو"
"bachwu","بچوؤ"
"bachelu","بچيلو"
"bad","بد"
"bad bakht","بد بخت"
"badsoorat","بد صورت"
"badbu","بدبو"
"badter","بدتر"
"bader","بدر"
"bid'at","بدعة"
"badal","بدل"
"badlo","بدلو"
"badalwu","بدلوؤ"
"badan","بدن"
"budhwaar","بدهوار"
"badi","بدي"
"badi","بدي"
"bazl","بذل"
"bazlul johod","بذل الجهد"
"ber","بر"
"bir","بر"
"bar laawu","بر لاؤجو"
"bar niyat","بر نية"
"bara'at","براءة"
"baraa'at","براءة"
"baraabar","برابر"
"baraaberi kerwu","برابري كروؤ"
"biraader","برادر"
"buraai","برائي"
"barbaadi","بربادي"
"berbat","بربط"
"barchi","برچهي"
"barhaq","برحق"
"bardaasht","برداشت"
"burdbaar","بردبار"
"burdbaari","بردباري"
"barsar e mala","برسرملاء"
"bars","برص"
"baraf","برف"
"barq","برق"
"barakat-barakaat","بركة-بركات"
"bargashta","برگشته"
"burhapo","برهاپو"
"burhaan","برهان"
"baraheen","برهان - براهين"
"burhanuddin","برهان الدين"
"berhaawu","برهاوؤ"
"barhana","برهنه"
"buro","برو"
"bari thaawu","بري تهاوؤ"
"buzdil","بزدل"
"buzurg-buzurgo","بزرگ-بزرگو"
"buzurgi","بزرگي"
"bus","بس"
"bustaan","بستان"
"bister","بستر"
"bastat","بسطة"
"bismillah","بسم الله"
"bisharat","بشارة"
"bashashat","بشاشة"
"basher","بشر"
"bishr","بشر"
"bushraa","بشرْى"
"basheer","بشير"
"basarat","بصارة"
"basirat","بصيرة"
"bazid rehwu","بضد رهوؤ"
"bad'at","بضعة"
"batakh","بطخ"
"butlaan","بطلان"
"ba'as","بعث"
"ba'ad","بعد"
"ba'az","بعض"
"ba'az waqat","بعض وقت"
"baeed","بعيد"
"bagawat","بغاوة"
"bagal","بغل"
"baglat","بغلة"
"bagair","بغير"
"baqaa","بقاء"
"baqar","بقر"
"buq'at","بقعة"
"bukaa","بكاء"
"bakter","بكتر"
"bakro","بكرو"
"bigaar","بگار"
"bagaasa khaawu","بگاسا كهاوؤ"
"bigarwu","بگروؤ"
"bila hisaab","بلا حساب"
"bala'- balao","بلاء-بلاؤ"
"bilaad","بلاد"
"bilaad imaniyah","بلاد ايمانية"
"bilaari","بلاري"
"bulaawu","بلاوؤ"
"bulbul","بلبل"
"bilkul","بلكل"
"balke","بلكه"
"baland","بلند"
"baland bakht","بلند بخت"
"billor","بلور"
"buloog","بلوغ"
"binaa","بناء"
"banawo","بناوؤ"
"band","بند"
"bandagi","بندگي"
"banda","بنده"
"bandobast","بندوبست"
"bandiwaan","بنديوان"
"be nasehin nafeesa","بنفسه النفيسة"
"bunyaad","بنياد"
"bunyaan","بنيان"
"bhabi","بهابي"
"bhaaji","بهاجي"
"bhaari","بهاري"
"bhaari laagwu","بهاري لاگوؤ"
"bhaag waaqe thaawu","بهاگ واقع تهاوؤ"
"bhaagwu","بهاگوؤ"
"bhagidaar","بهاگيدار"
"bhaalo","بهالو"
"bhaanjo-bhaanji","بهانجو/بهانجي"
"bhawu","بهاوؤ"
"bhai","بهائي"
"bharpoor","بهرپور"
"behrahwar","بهرهور"
"bharosa, bharoso","بهروسه"
"bharosa mand","بهروسه مند"
"bharwu","بهروؤ"
"bhareli","بهريلي"
"bhalla","بهلّا"
"bhala","بهلا"
"bhalai","بهلائي"
"bhootra-bhootrao","بهوترا-بهوتراؤ"
"bhook","بهوك"
"bhoka-bhokao","بهوكو-بهوكاؤ"
"bhokwu","بهوكوؤ"
"bhul","بهول"
"bhulwu","بهولوؤ"
"bhonkwu","بهونكوؤ"
"bhi","بهي"
"bheid","بهيد"
"bheeq maangwu","بهيك مانگوؤ"
"bhega kerwu","بهيگا كروؤ"
"bhegu kerwu","بهيگو كروؤ"
"bhingaawu","بهينگاو"
"bheengra","بهينگرا"
"bhingu","بهينگو"
"baha","بهاء"
"bahadur","بهادر"
"bahadury","بهادري"
"bahaar","بهار"
"bahano","بهانو"
"bahawu","بهاوؤ"
"behbood","بهبود"
"behbudgi","بهبودگي"
"bohtaan","بهتان"
"behter","بهتر"
"behjat","بهجة"
"bharwu","بهرو"
"bahishti","بهشتي"
"behen","بهن"
"bu","بو"
"bu saheba","بو صاحبة"
"bhoojh","بوجهـ"
"bujhwu","بوجهوؤ"
"borwu","بوروؤ"
"bosa","بوسه"
"bosa gaah","بوسه  گاه"
"bolwu","بولوؤ"
"bohra","بوهره"
"bayaaz","بياض"
"bayan","بيان"
"bait","بيت"
"baitul khalaa","بيت الخلاء"
"baitullah","بيت الله"
"betaa","بيتا"
"bija","بيجا"
"bichara","بيچاره"
"be yadish shukr","بيد الشكر"
"be daar","بيدار تهاوؤ"
"be yadehish sharifa","بيده الشريفة"
"bir","بير"
"bero paar kerwu","بيرو پار كروؤ"
"beri","بيري"
"bisraa","بيسرا"
"baidaa","بيضاء"
"beda","بيضة"
"betho","بيضضهوؤ"
"be'at","بيعة"
"bekaar","بيكار"
"beeki","بيكي"
"bimaar","بيمار"
"bimaari","بيماري"
"bain","بين"
"baiaa zahraaneyin naas","بين ظهراني الناس"
"binaai","بينائي"
"baiyenat-baiyenaat","بينة-بينات"
"binwu","بينوؤ"
"behooda","بيهوده"
"be hosh","بيهوش"
"buyut","بيوت"
"bewe","بيوے"
"bewaqoof","بيوقوف"
"bairo","بئيرو-بئيراؤ"
"be adabi","بے ادبي"
"be ae'tenai","بے اعتنائي"
"be parda","بے پرده"
"be paher","بے پهر"
"be jaan","بے جان"
"be chain","بے چين"
"be had","بے حد"
"be hurmati","بے حرمتي"
"be his","بے حس"
"be hisaab","بے حساب"
"be haya","بے حياء"
"be dam","بے دم تهئي جاوؤ"
"be zubaan","بے زبان"
"be saakhta","بے ساخته"
"be sud","بے سد"
"be sharam","بے شرم"
"be shak","بے شك"
"be shumaar","بے شمار"
"be izzatee","بے عزتي"
"be aqal","بے عقل"
"be farmaani","بے فرمان"
"be farmaani","بے فرماني"
"be qaraar","بے قرار"
"be qusoor","بے قصور"
"be gunah","بے گناه"
"be kinaar","بے كنار"
"be mool","بے مول"
"be mulaa","بے مولىْ"
"be nazir","بے نظير"
"paabandi","پابندي"
"paato","پاتو"
"paatyo-paatyao","پاتيو-پاتياؤ"
"paachal","پاچهل"
"paachlo din","پاچهلو دن"
"paachli raat","پاچهلي رات"
"paar kerwu","پار كروؤ"
"paar-cher-haa-man","پارچرهامن"
"paarwu","پاروؤ"
"paas","پاس"
"paasbaan","پاسبان"
"paase","پاےس"
"paak","پاك"
"paagri","پاگهري"
"paakwu","پاكوؤ"
"paakizgi","پاكيزگي"
"paalki","پالكي"
"paalwu","پالوؤ"
"paamaal","پامال"
"paantra-paantrao","پانترا-پانتراؤ"
"paansa","پانسا"
"paankh","پانكهـ"
"paani","پاني"
"paao","پاؤں"
"payae takhat","پايه تخت"
"paayo","پايو"
"pittal","پتّل"
"pitaari","پتاري"
"patar","پتر"
"patang","پتنگ"
"patta, patto","پته، پته ؤ"
"pathar","پتهر"
"pukhtagi","پختگي"
"pukhta","پخته"
"pachaarwu","پچهاروؤ"
"pichori","پچهوري"
"pider","پدر"
"padhaarwu","پدهاروؤ"
"pur asar","پر اثر"
"pur balaagat","پر بلاغة"
"paraperi kerwu","پراپري كروؤ"
"paraamwu","پراموؤ"
"puraanu","پرانو"
"pur josh","پرجوش"
"perchum","پرچم"
"parda","پرده"
"perdais","پرديس"
"purza","پرزه"
"pursaan e haal","پرسان حال"
"purso dewu","پرسو ديوؤ"
"param din","پرم دن"
"pernaawu","پرناوؤ"
"parinda","پرنده"
"purnam","پرنم"
"parhaizgaar","پرهيزگار"
"parwaaz","پرواز"
"parwaana","پروانه"
"parwaano","پروانو"
"parwaah","پرواه"
"parwardigaar","پروردگار"
"parwarish","پرورش"
"parwari","پروري"
"paros","پروس"
"parosi","پروسي"
"parwu","پروؤ"
"pareshaan","پريشان"
"pareshaani","پريشاني"
"pareegwu","پريگوؤ"
"parelu","پريلو"
"pas o paish","پس و پيش"
"past himmat","پست همة"
"pastaawu","پستاوؤ"
"pasti","پستي"
"pasand","پسند"
"pasandida","پسنديده"
"paseena","پسينه"
"pusht e panah","پشت پناه"
"pukaar","پكار"
"pukaarwu","پكاروؤ"
"pakaawo","پكاوؤ"
"pag","پگ"
"pighalwu","پگهلوؤ"
"pighlelu","پگهليلو"
"pal","پل"
"pul","پل"
"palko","پلكو"
"palang","پلنگ"
"palla","پله"
"pan","پن"
"panah","پناه"
"panah gah","پناه گاه"
"panjatan paak","پنجتن پاك"
"pindli","پندلي"
"pinhaa","پنهاں"
"pangaathe","پنگاتهے"
"pankho","پنكهو"
"phaat","پهات"
"phaaru","پهاروؤ"
"phaanti jaawu","پهانتي جاوؤ"
"phabti nathi","پهبتي نتهي"
"phitkaar","پهتكار"
"phiraawu","پهراوؤ"
"pharakwu","پهركوؤ"
"phirwu","پهروؤ"
"phiri jaawu","پهري جاوؤ"
"phuslaawu","پهسلاوؤ"
"phal-phalo","پهل-پهلو"
"phala-phula","پهلا پهولا"
"phaldaar","پهلدار"
"pohchawu","پهنچاوؤ"
"phasaai jaawu-phaswu","پهنسائي جاوؤ-پهنسوؤ"
"phuwa ji","پهواجي"
"phorwu","پهوروؤ"
"phool","پهول"
"phulaawu","پهولاوؤ"
"phoolwu","پهولوؤ"
"phonkaawu","پهونكاوؤ"
"phoonkwu","پهونكوؤ"
"pheto","پهيتو"
"pheraa","پهيرا"
"phelaai jaawu","پهيلائي جاوؤ"
"phelwu","پهيلوؤ"
"pheen","پهين"
"pheinkwu","پهينكوؤ"
"phai ji","پهئي جي"
"pahaar","پهار"
"pehchaan","پهچان"
"pehchaanwu","پهچانوؤ"
"pehla","پهلا"
"pehlu","پهلو"
"pehenwu","پهنوؤ"
"pota","پوتا"
"potaana","پوتانا"
"poochu","پوچهوؤ"
"puraa","پورا"
"poordais","پورديس"
"poore puru","پورے پورو"
"puri paarwu","پوري پاروؤ"
"poshaak","پوشاك"
"poshidah","پوشيده"
"pawan","پون"
"ponji","پونجي"
"punam","پونم نا چندرما"
"piya","پيا"
"payaar","پيار"
"payaaro","پيارو"
"payaaz","پياز"
"pyaas","پياس"
"piyaali-piyaalo","پيالي-پيالو"
"pait","پيت"
"peeth","پيتهـ"
"pethwu","پيتهوؤ"
"peti","پيتي"
"piche piche jaawu","پيچهے پيچهے اجاوؤ"
"picho kerwu","پيچهو كروؤ"
"paida","پيدا تهاوؤ"
"paidaaish","پيدائش"
"pairaayaa","پيرايا"
"pairhan","پيرهن"
"pilwu","پيروؤ"
"pairi","پيري"
"peeri","پيري"
"pairi daar","پيري دار"
"peeswu","پيسوؤ"
"paish kerwu","پيش كروؤ"
"paishaab","پيشاب"
"paishaani","پيشاني"
"paishter","پيشتر"
"peshangoi","پيشنگوئي"
"paishwa","پيشوا"
"paiham","پيهم"
"paigaam","پيغام"
"pilu","پيلو"
"peelwu","پيلوؤ"
"payamber","پيمبر"
"pewast","پيوست"
"pewand","پيوند"
"piwu","پيوؤ"
"pe dar pe","پے در   پے"
"ta abad","تا ابد"
"ta hayaat","تا حياة"
"taab","تاب"
"tabe'-taabe'een","تابع - تابعين"
"taabe' thawu","تابع تهاوؤ"
"taaboot","تابوت"
"taaj","تاج"
"taar","تار"
"taaraa","تارا"
"taazgi","تازگي"
"taaza","تازه"
"taasu'","تاسوع"
"taakeed","تاكيد"
"taalaab","تالاب"
"taalu","تالو"
"taanki","تانكي"
"taaeb","تائب"
"taeed","تائيد"
"taa'seer","تأثير"
"taakheer","تأخير"
"taadeeb","تأديب"
"taareekh","تأريخ"
"taasees","تأسيس"
"taaleef","تأليف-تأليفات"
"tabaa'at","تباعة"
"tabattul","تبتل"
"tabdeel","تبديل"
"tabzeer","تبذير"
"tebr","تبر"
"tabarrokan","تبركاً"
"tabassum","تبسم"
"tapaas","تپاس كروؤ"
"tapakwu","تپكوؤ"
"tapya","تپيا"
"tijaarat","تجارة"
"tajdeed","تجديد"
"tajurba-tajaarib","تجربة-تجارب"
"tajalli","تجلي"
"tijori","تجوري"
"taji dewu","تجي ديوؤ"
"tehzeer","تحذير"
"tehreek","تحريك"
"tehseen","تحسين"
"tehseel","تحصيل"
"tehdeed","تحضيض"
"tohfah","تحفة"
"tehqeeq","تحقيق"
"tehqeeqan","تحقيقاً"
"tehleel","تحليل"
"tahiyat","تحية-تحيات"
"tahiyat ul masjid","تحية المسجد"
"takhat","تخت"
"takhreej","تخريج"
"takhsees","تخصيص"
"takhteet","تخطيط"
"takhalluf","تخلف"
"takhallul kerwu","تخلل كروؤ"
"tukhum","تخم"
"takhmeen","تخمين"
"tadaaruk","تدارك"
"tadbeer","تدبير"
"tadbeer e aakhir","تدبير اٰخر"
"tadqeeq","تدقيق"
"tadween","تدوين"
"tizkaar","تذكار"
"tazkeer","تذكير"
"ter thai jaawu","تر تهئي جاوؤ"
"turaab","تراب"
"taraazu","ترازو"
"turbat","تربة"
"tarbiyat","تربية"
"tarat","ترت"
"tarteeb","ترتيب"
"tarteel","ترتيل"
"tarjuma","ترجمة"
"tarheeb","ترحيب"
"taraswu","ترسوؤ"
"tarshul","ترشول"
"targeeb","ترغيب"
"taraqqi","ترقي"
"tarkaari","تركاري"
"tarakti","تركضضي"
"tarmeem","ترميم"
"trikon","تريكون"
"tazkiyat","تزكية"
"tazyeen","تزيين"
"tasbeeh","تسبيح"
"tasdeed","تسديد"
"taskeen","تسكين"
"tasalsul","تسلسل"
"tasalli","تسلي"
"tasleem","تسليم"
"tashabbuh","تشبه"
"tashbeeh","تشبيه"
"tash-jee'","تشجيع"
"tash-khees","تشخيص"
"tashreef","تشريف"
"tashreef laawu","تشريف لاوؤ"
"tashyeed","تشييد"
"tasadduk","تصدق"
"tasdeeq","تصديق"
"tasreehan","تصريحاً"
"tasneef","تصنيف-تصنيفات"
"tasawwur","تصور ليوؤ"
"tasweer","تصوير-تصاوير"
"tada'eef","تضاعيف"
"tadar'ro","تضرع"
"tat'heer","تطهير"
"tatawwo","تطوع-تطوعات"
"taa'ruf","تعارف"
"ta'aawon","تعاون"
"ta'ab","تعب"
"ta'biyat","تعبية"
"ta'beer","تعبير"
"ta'ajjub","تعجب"
"ta'daad","تعداد"
"ta'addi","تعدي"
"ta'ziyat","تعزية"
"ta'teel","تعطيل"
"ta'zeem","تعظيم"
"ta'leem","تعليم"
"ta'meer","تعمير"
"ta'weez","تعويذ"
"ta'yeen","تعيين"
"tagaiyur aawu","تغير اٰوؤ"
"tagyeer","تغيير"
"tuffah","تفاح"
"tafaadi","تفادي"
"tafreeh","تفريح"
"tafreeq","تفريق"
"tafseer","تفسير"
"tafseel","تفصيل"
"tafaddul","تفضل"
"tafdeel","تفضيل"
"tafaqqud","تفقد"
"tafakkur","تفكر"
"tafkeer","تفكير"
"tafweez","تفويض"
