"46","aasu","tear","اٰنسو","انكهـ ما سي غم يا خوشي نا سبب جه پاني نكلے"
"47","aangli","finger","اٰنگلي","هاتهـ ما چار اٰنگلي"
"48","aangan","yard","اٰنگن","صحن"
"49","aaho zaari","mourning","اٰه زاري","حزن انے بكاء كروؤ"
"50","aahistaa","slow","اٰهسته","دهيرے سي"
"51","aawaaz","voice","اٰواز","وه چيز جه كانو نا ذريعة سنائي چهے"
"52","aawu","come","اٰوؤ","مجئ (عربي ما)"
"53","aayat","a verse of quran majeed, sign","اٰية-اٰيات","قران مجيد ما خدا جه فرماوے ته/ نشاني"
"54","aainda","in future","اٰئنده","جه مستقبل  ما اٰونار هوئي"
"55","abba","father","ابّا","باواجي"
"56","ibtida","starting","ابتداء","كئي چيز ني شروعات"
"57","ibteda an","in the beginning","ابتداءً","شروع ما"
"58","ibtedaa'","producing something new","ابتداع","نوي چيز بناؤ"
"59","ibtehaal","invocation, supplication","ابتهال","روئي نے دعاء كروو"
"60","abad ul aabaad","forever","ابد الاباد","هميشه"
"61","ibdaa' kerwu","to innovate","ابداع كروؤ","نوي چيز بناؤ"
"62","abadi","eternal","ابدي","جه هميشه واسطے هوئي (زندگي)"
"63","aber","a cloud","ابر","وادل"
"64","abraar","noble, righteous","ابرار","نيك لوگو"
"65","abras","leper","ابرص","جه نے برص ني بيماري هوئي"
"66","ibhaam","confusion; doubt","ابهام","جه وات ايكدم واضح نه هوئي"
"67","iblaag","to inform","ابلاغ","پهنچاوؤ"
"68","iblees","satan","ابليس","شيطان نو مهوتو"
"69","ibn","son","ابن","فرزند"
"70","ubhaarwu","to raise up, plump up","ابهاروؤ","اتهاوؤ"
"71","abwaab","gates","ابواب","دروازاؤ"
"72","abyaat","verses","ابيات","بيت ني جمع"
"73","upaarwu","to lift","اپاروؤ","اتهاوؤ"
"74","apan","we","اپن","هميں"
"75","apna","ours","اپنا","همارا"
"76","ittekaa","depend upon","اتّكاء","كوئي چيز يا كوئي شخص نا اوپر تكيو كروؤ، اعتماد كروؤ "
"77","utaro","stay","اتارو","رهواني جگه"
"78","utaarwu","to bring it down","اتاروؤ","اوپر سي كئي چيز نے نيچے ليوؤ"
"79","utarti","descending order","اترتي","نيچے ني طرف اٰوتي"
"80","uterwu","decsend","اتروؤ","نيچے ني طرف اوؤ"
"81","ittesaal","connection","اتصال","تعلق"
"82","ittefaaq","unity/coincidence","اتفاق","كوئي وات پر سگلا نو جمع هوؤ، يكتائي هوئي"
"83","itqaan","perfection, with mastery","اتقان","پختگي"
"84","atqeyaa","pious people","اتـقياء","تقي ني جمع، تقوىْ راكهناراؤ"
"85","atakwu","to get stuck","اتكوؤ","ركوؤيا تهيروؤ"
"86","uthaawu","pick up","اتهاوؤ","كئي چيز نے اُچَكوؤ"
"87","atharwu","wander","اتهروؤ","بهتكوؤ"
"88","uthwu","to wake up/ to stand up","اتهوؤ","بيتها هوئي نو كهرا تهاوؤ، نيند سي بيدار تهاوؤ"
"89","athar","impact","اثر","اثر"
"90","ism","sin","اثم","گناه"
"91","asnaa","during","اثناء","دوران"
"92","ithnain","monday","اثنين","سوموار نو دن"
"93","ijabat","answer","اجابة","جواب"
"94","ijazat","permission","اجازة","رزا"
"95","ujaagro","absence of sleep","اجاگرو","نيند نو غائب تهاوؤ"
"96","ijtebaa","selecting","اجتباء","چني نكالوؤ"
"97","ijtema","gathering","اجتماع","جيوارے لوگو بهيگا تهئي يا جمع تهائي"
"98","ijtemaee","social/collectively","اجتماعي","سگلا ساتهے ملي نے جه كرے، سماجي"
"99","ijtenaab","avoidance","اجتناب","بچوؤ، دور رهوؤ"
"100","ijtehaad","diligence","اجتهاد","كوشش"
"101","ajar","reward","اجر","ثواب"
"102","ujrat","wage","اجرة","كئي كام نا بدل ما كوئي نے رقم اٰپے ته"
"103","ajal","superior/death","اجل","كؤئي شخص يا چيز كرتا اعلىْ هوؤ،  موت"
"104","ajnabi","stranger","اجنبي","انجان شخص،   جه پرديس سي اٰيا هوئي"
"105","ahadees","sayings of rasulillah","احاديث","رسول الله جه كئي بهي فرمايو ته"
"106","ihaatat","surround","احاطة","گهيرو"
"107","aahibbaa","loved ones, lovers","احباء","محبة كرناراؤ"
"108","ehteraam","respect","احترام","كوئي نے عزة اٰپوؤ"
"109","ihtefaal","celebration","احتفال-احتفالات","جشن"
"110","ehtemaal","endurance","احتمال","برداشت كروؤ"
"111","ehtewa","contain something fully","احتواء","كئي چيز نے مكمل طور پر سماوي ليوؤ"
"112","ehteyaaj","need, scarcity","احتياج","محتاجگي"
"113","ehteyaat","precaution, reservation","احتياط","كئي چيز سي بچي نے رهوؤ، محتاط رهوؤ"
"114","ahad","sunday","احد","رويوار نو دن"
"115","ehraam","dress for haj","احرام","ميقات سي حج يا عمرة ني نية كرتي وقت بندهائي"
"116","ahraa","more likely","احرىْ","زيادة لائق ، سازوار "
"117","ehsaas","sense, feeling","احساس","محسوس كروؤ"
"118","ehsaan","favour","احسان","نوازش، فضل"
"119","ahsan","better","احسن","بهتر"
"120","ahsanta","well done","احسنتَ","گهنو بهتر كيدو تميں يه"
"121","ahkaam","jurisprudence","احكام","فقه نا احكام -  فقه نا قانون"
"122","ehkaam","strengthen","احكام","كئي چيز يا امر  نے مضبوط كروؤ"
"123","ahmar","red","احمر","لال"
"124","ahwaal","conditions","احوال","حالة ني جمع"
"125","ehyaa","revive/awaken","احياء كروؤ","زنده كروؤ،    جاگوؤ"
"126","akh","brother","اخ","بهائي"
"127","akhbaar","news/history","اخبار","تاريخ ني ذكر،   خبر ني جمع"
"128","ukht","sister","اخت","بهن"
"129","ikhtebaar","test","اختبار","امتحان كرے،اهني خبر لے"
"130","ikhtesaar","concise","اختصار","كئي چيز نے كم كروؤ، مختصر كروؤ"
"131","ikhtelaaf","difference","اختلاف","رائے ما ايك بيسرا سي  الگ هوؤ"
"132","ikhteyaar","choice","اختيار","بے يا زيادة چيزو ما سي چني سكوا ني قوة"
"133","aakhir","last","اخر","چهيلو"
"134","aakhereen","people who will come till the end","اخرين","بعد ما اٰؤنار"
"135","ikhlaas","purity","اخلاص","صفاء"
"136","akhlaaq","manners-ethics","اخلاق","ورتاؤ  - ادب"
"137","akhlaaq hasanah","good ethics","اخلاق حسنة","بهتر اخلاق"
"138","akheer","end","اخير","چهيلے"
"139","achat","separate","اچهت تهاوؤ","چهتّا پري جاوؤ"
"140","achu","good","اچهو","جه كئي چيز بهتر لاگتي هوئي"
"141","idara","department","ادارة","شُعبة"
"142","udaas","sad","اداس","غم زده هوؤ"
"143","adab","literature/discipline","ادب","تميز"
"144","idraak","understand","ادراك","كئي چيز نے حاصل كري ليوؤ يا سمجهي ليوؤ"
"145","ad- e'yat","prayers","ادعية","دعاء ني جمع، دعاؤ"
"146","adna","lowest, inferior","ادنىْ","نيچا ما نيچو"
"147","udhaar","loan","ادهار","قرض"
"148","adhukraa bethwu","to sit uncomfortably","ادهوكرا بيتهوؤ","تمكن سي نه بيتهوؤ"
"149","idhwichraa","middle aged","ادهويچرا","ضعيفي انے جواني نا درميان ني عمر"
"150","adwaar maziya","past times","ادوار ماضية","گذريلا  زماناؤ"
"151","izan","invitation","اذَن","دعوة دئي نے بلاوؤ"
"152","ozun","ear","اذُن","كان"
"153","izin","rank of mazoon","اذٍّن","ماذون نو رتبة"
"154","azaan","given before every farizat namaz","اذان","هر فريضة ني نماز واسطے اٰپواما اٰوے چهے"
"155","azhaan","minds","اذهان","ذهن ني جمع"
"156","irada, irado","take upon oneself, intention","ارادة","كئي عمل كروا ني نية كروؤ"
"157","arbea","wednesday","اربعاء","بدهوار نو دن"
"158","irteqaa","raise","ارتقاء","چرهوؤ"
"159","irteqaab","perpetrate","ارتكاب","(بد) عمل كروؤ"
"160","archan","hinderance","ارچن","روكاوت"
"161","ardhu","half","اردهو","نصف ،    پورا انے خالي نو درميانو حصه"
"162","arzaaq","livelihood","ارزاق","رزق ني جمع، روزي"
"163","irsaal","to send","ارسال","كئي چيز نے موكلوؤ"
"164","irshaad","to guide","ارشاد","اهوؤ فرمان جه ما هداية هوئي"
"165","arkaan","corners, pillars","اركان","كوناؤ، تهمباؤ"
"166","arwaah","souls","ارواح","روح ني جمع، جانو"
"167","urwu","to fly","اروؤ","هوا نا اندر اُران كروؤ"
"168","izdehaam","overcrowding","ازدحام","حيوارے گهنا لوگو ايك جگه تهائي جه نا سبب سي جگه تنگ پري جائي،  بهير"
"169","azdaha","snake","ازدها","سانپ"
"170","izdewaaj","marriage","ازدواج","جوراوؤ، مردو بيئرو نو شادي سي جوراؤ"
"171","azali","eternal","ازلي","جه هميشه سي هوئي  انے كوئي وقت ختم نه تهائي"
"172","asaas","basis, foundation","اساس","پايو"
"173","aasaaesh","facility","اسائش","ضرورة نو سامان"
"174","asbaab","reasons / means","اسباب","سامان"
"175","asbaat","grandson","اسباط","نواسا"
"176","asbaaq","lessons","اسباق","سبق ني جمع"
"177","ustaaz","teacher","استاذ","جه علم پرهاوے"
"178","istibsaar","deriving meaning insightfully","استبصار","بصيرة ليوي، بيان ني معاني ما نظر كروي"
"179","istibsaar","the act of perceiving things beyond the natural range of the senses","استبصار","بصيرة طلب كروؤ"
"180","istetaar","seclusion","استتار","پرده تهاوؤ، مخفي تهئي جاوؤ"
"181","istehsaan","approbation, praise","استحسان","اچهو گردانوؤ، شاباشي ديوؤ"
"182","istehqaaq","eligibility, entitlement","استحقاق","كوئي چيز نا لائق تهاوؤ"
"183","istikhraaj","extraction","استخراج","نكالوؤ"
"184","istisqaa","namaz to seek rain","استسقاء","بارش نے طلب كروا واسطے جه نماز پرهائي"
"185","istetaa'at","capability","استطاعة","سكت، كئي بهي عمل كري سكوؤ ميسر هوئي انے يه عمل كرواني قوة هوئي."
"186","istehaanat","to underestimate or have disregard for so.","استهانة","كوئي بهي چيز نے هلكو پاروؤ يا جانوؤ، مسخري"
"187","isteaazat","seek protection","استعاذة","پناه مانگوؤ (شيطان سي يا بد عمل سي)"
"188","isteaanat","seek help","استعانة","مدد طلب كروؤ"
"189","iste'maal","use","استعمال","كئي چيز نے واپروؤ"
"190","istegaasat kerwu","appeal","استغاثة","وار طلب كروؤ"
"191","istigfaar kerwu","to seek forgiveness","استغفار كروؤ","گناهو  ني  معافي  طلب  كروؤ"
"192","istiqbaal","welcoming reception","استقبال","كوئي اٰؤنار هوئي اهنے كرامة نا ساتهے لئي نے اٰوؤ"
"193","istiqlaal","independence","استقلال","خود نا اوپر اعتماد"
"194","istikbaar","pride","استكبار","تكبر كروؤ، پوتانے بيسرا سي اونچو سمجهوؤ "
"195","istimdaad","seek help","استمداد","مدد طلب كروؤ"
"196","istimraar","continuation","استمرار","كوئي چيز يا عمل نو جاري رهوؤ"
"197","istenaarat","seeking light","استنارة","نور طلب كروؤ-هداية ليوو"
"198","istimbaat","derive meaning(between the lines)","استنباط","معنى نے نكالوؤ"
"199","istinsaakh","reproducing a text or a book through writing","استنساخ","كتاب نو نسخة كروؤ"
"200","istinshaaq","inhalation","استنشاق","ناك سي هواء نے اندر ليوؤ"
"201","istinkaaf","unwillingness due to pride","استنكاف","تكبر كري كوئي كام نه كروؤ"
"202","istawa","equality; straightness","استواء","سركها"
"203","ustowaar","straighten out, resolve","استوار كروؤ","هموار كروؤ، برابر كروؤ"
"204","isti'aab","absorption","استيعاب","ذهن نشين كرواني قوة"
"205","asraar","secrets","اسرار","راز ني واتو"
"206","israaf","wasteful, extravagant","اسراف","فضول خرچي كروؤ"
"207","asturlaab","astrolab","اسطرلاب","ايك اٰلة چهے"
"208","astri","iron","اسطري","جه كپرا پر پهيراوي اهنا سلو دور كرائي"
"209","islam","islam","اسلام","رسول الله صلع جه دين لئي نے اٰيا"
"210","usloob","stlye, way","اسلوب","انداز يا سليقة"
"211","ism-asmaa","name","اسم-اسماء","نام"
"212","asma ullah","names of allah","اسماء الله","الله تعالىْ نا  نامو"
"213","aasmaan","sky","اسمان","فلك، سماء"
"214","asmer","brown","اسمر","گهو رنگا"
"215","aseer","prisonor","اسير","قيدي"
"216","isharaa","indication/hint","اشارة","كئي چيز ني طرف توجه اپاوؤ"
"217","ishaa'at","publish","اشاعة","شائع كروؤ، نشر كروؤ"
"218","ishtebah","to have doubts or suspicion","اشتباه","كئي چيز  ما شبه اٰوي جاوؤ، شك"
"219","ishteqaaq","derivation","اشتقاق","كئي بهي چيز جه نے بيسري چيز ما سي نكالوا ما اٰوي هوئي انے يه بيسري چيز نو حصه هوئي"
"220","ashkhaas","persons","اشخاص","شخص ني جمع، اٰدميو"
"221","ashad","toughest, strongest","اشد","گهنو شديد، گهنو سخت"
"222","ishraaq","shine","اشراق","چمك، چمكوؤ،    امام الزمان ع م نو داعي ني طرف مخصوص فيض"
"223","ashe'at","rays","اشعّة","شعاعو، كرنو"
"224","ashgaal","tasks, engagements","اشغال","كامو"
"225","ishfaaq","compassion","اشفاق","شفقة"
"226","ish-haar","publicity","اشهار","لوگو نا درميان مشهور كروؤ"
"227","ashyaa","things","اشياء","شئي ني جمع، چيزو"
"228","as-haab","companions","اصحاب","صاحبو"
"229","israar","insistence","اصرار","اري رهوؤ"
"230","istefaa","selection","اصطفاء","چيني ليوؤ"
"231","istefaa kerwu","selection","اصطفاء","چنوؤ"
"232","istelaah","term","اصطلاح","محاورة"
"233","asgar","smaller, younger","اصغر","ناهنو"
"234","asal","root, orignal form","اصل","جر،  شروع"
"235","islaah","correct, improve","اصلاح","درست كروؤ، سدهاروؤ"
"236","usool","origins, principles","اصول","قانون"
"237","idaafat","addition","اضافة","ودهارو"
"238","izteraab","unrest, weakness","اضطراب","پريشاني ني حالة ما هوؤ، كمزوري"
"239","ad'aaffan muda'afa","manifold","اضعافاً مضاعفة","گونا گون تهاؤ"
"240","aatibba","doctors","اطبّاء","داكترو، طبيب ني جمع"
"241","ittelaa","information","اطلاع","اٰگاه تهاوؤ"
"242","itmenaan","contentment","اطمئنان","سكون يا تسلّي هوؤ"
"243","izhaar","to show, display","اظهار","ظاهر كروؤ، بتاوؤ"
"244","i'aadat","revision","اعادة","جه پرهي گيا هوئي اهنے والوؤ، دوباره ديكهوؤ يا پرهوؤ"
"245","ae'tedaal","moderation","اعتدال","وچ گالے"
"246","ae'traaz","objection","اعتراض","كئي وات پر چونچرا كروؤ"
"247","ae'teraaf","acknowledgment, confession","اعتراف","ماني ليوؤ"
"248","ee'tesaam","to hold firmly","اعتصام","ولگوؤ"
"249","ae'teqaad","belief","اعتقاد","دل سي كئي چيز نا باره ما مانوؤ"
"250","ae'tekaaf bhandwu","to sit secluded in a masjid, abstaining from worldly affairs and engaging in devotional exercises","اعتكاف","مسجد ما رهي نے عبادة كرواني نية"
"251","ae'temaad","reliance, dependence","اعتماد","بهروسه كروؤ"
"252","ae'tenaa","take care","اعتناء","كئي كام نے دهيان دئي اچهي ريتے كروؤ"
"253","aa'daa","enemies","اعداء","عدو ني جمع، دشمنو"
"254","e'raab","the vowels or diacritical points in arabic","اعراب","عربي ما الفاظ پر جه نشان لگاوا ما اٰوے چهےجه ايم بتاوے كه يه كيم پرهاےس"
"255","aa'raabi","an arab of the desert","اعرابي","گاؤں ما رهنار"
"256","aaraabi","an arab from rural area","اعرابي","گامرا نا شخص"
"257","ae'raaz","turn (one's) back on","اعراض","منهـ  پهيروؤ"
"258","aa'daa","body parts","اعضاء","جسم  نا مختلف حصه ؤ جيم هاتهـ، ناك..."
"259","aa'zam","greatest","اعظم","گهنو عظيم يا مهوتو"
"260","aa'laam","sign post/flags","اعلام","نشانو، جهنداؤ"
"261","ae'laan","announcement","اعلان","كئي چيز ني لوگو ما خبر كروي"
"262","aa'la","superior","اعلىْ","گهنو بلند"
"263","aa'lallah o qudsahu","may allah bless his soul","اعلىْ الله قدسه","خدا اهني روح نے بلند كرجو"
"264","aa'la illiyeen","higher ranks of heaven","اعلىْ عليين","جنة نا اعلىْ درجات"
"265","aa'maa","blind/ ignorant","اعمىْ","اندهو، غافل"
"266","aa'waan","helpers","اعوان","ياري دينار لوگو"
"267","aa'yaan","elders, notables","اعيان","رؤساء، قوم نا مهوتاؤ"
"268","igtenaam","take advantage","اغتنام","غنيمة ليوؤ"
"269","agar","most luminous","اغر","زيادة روشن"
"270","igmaaz","to overlook, shut the eyes","اغماض","انكهـ نے ميچي ليوؤ"
"271","agniyaa","rich people","اغنياء","مالدارو، غني ني جمع"
"272","agyaar","other people","اغيار","غير لوگو"
"273","uff kehwu","to utter the exclamation uff by reason of disquietude, distress, etc.; to heave a sigh, to sigh","اف كهوؤ","كئي وات نے يا كام كروانے بهاري لگاوؤ"
"274","ifadat-ifaadaat","(passing on the) benefit","افادة-افادات","فائدة"
"275","iftetah","inauguration","افتتاح","نوي بناء نا استعمال ني رسمي شروعات"
"276","ifraat","to be found in abundance.","افراط","زيادة هوؤ"
"277","afranj","french","افرنج","فرانس نا لوگو"
"278","afsos","regret","افسوس","پستاؤ كروو"
"279","afzal","better","افضل","گهنو فضل والو"
"280","iftaar","breaking of a fast with food","افطار","روزه  كئي كهاوا ني چيز سي چهورؤ"
"281","ufuq","horizon","افق","اسمان"
"282","afkaar","thoughts","افكار","ويچارو، خيالات"
"283","aqaaleem","regions","اقاليم","دنيا نا مختلف حصه ؤ"
"284","iqaamat","stay/given for farizat namaaz after azaan","اقامة","فرض پرهوا قبل اٰپوا ما اٰوے-   تهيرواني جگه"
"285","iqbaal","luck, fortuity","اقبال","نصيب"
"286","iqbaal kerwu","to face","اقبال كروؤ","چهره سي متوجه تهاوؤ"
"287","iqtebaas","quotation","اقتباس","كوئي صاحب يه كئي ذكر كيدي هوئي اهنے اهنا} الفاظ ما اداء كروؤ"
"288","iqtedaa","to follow","اقتداء"," كوئي ني تباعة كروي، چالے چلوؤ"
"289","iqtesaad","economics","اقتصاد","انسان ني زندگي ني مالي ناحية"
"290","aqdaar","fates, values","اقدار","قدرو، نصيب"
"291","iqraar","admit","اقرار","كئي چيز نے ماني ليوؤ انے زبان سي ادا كروؤ"
"292","aqrebaa","relatives","اقرباء","رشته دار"
"293","aqsaam","types, kinds","اقسام","قسمو"
"294","aqsaa","farthest end","اقصىْ","دور/ اٰخري"
"295","aqsal muna","ultimate wish","اقصى المنىْ","اٰخري اُميد، مهوتا ما مهوتي اميد"
"296","aqsa umeed","ultimate wish","اقصى اميد","اٰخري اُميد، مهوتا ما مهوتي اميد"
"297","aqtaar","corners of the world","اقطار","دنيا نا كوناؤ"
"298","aqwaa","stronger","اقوىْ","زيادة  مضبوط"
"299","akhaa","whole","اكّها","پورا"
"300","akaaleem","sayings of moulana ali as","اكاليم","مولانا علي ع م جه فرمايو"
"301","akbar","greater, great, bigger","اكبر","مهوتو"
"302","aksar","more, often","اكثر","ودهارے تر"
"303","ikraam","honour","اكرام","كرامة كروؤ، عزة اٰپوؤ"
"304","ukhaarwu","to peel","اكهاروؤ","كئي چيز (اهني چامري پر سي) كهينچي نے نكالوؤ"
"305","akela","alone","اكيلا","جيوارے ساتهے بيجو كوئي نه هوئي"
"306","akela","alone","اكيلا","بيجو كوئي ساتهے نه هوئي"
"307","akela panu","loneliness","اكيلاپنو","اكيلا هوا ني حالة"
"308","agaasi","terrace","اگاسي","چهت"
"309","ugaawo","to plant","اگاوؤ","بيح يا جهار نے متي ما ناكهوؤ تا كه مهوتو تهائي"
"310","agar","if","اگر","اگر"
"311","ugwu","to grow","اگوؤ","ودهوؤ"
"312","iltejaa","earnest plead","التجاء","خشوع انے تضرع نا ساتهے مانگوؤ"
"313","iltefaat kerwu","to turn around/to pay attention","التفات كروؤ","پهروو،  دهيان اٰپوؤ"
"314","iltemaas","request","التماس","گذارش كروؤ-   مانگوو"
"315","uljhan","complication","الجهن","مشكلي"
"316","ilhaah","beseeching, urging","الحاح","دل نا خلوص سي وارم وار كهوؤ"
"317","ilzaam","blame","الزام","تهمة"
"318","as salaam o alaikum","may peace be on you","السلام عليكم","تمارا سگلا نا اوپر سلام"
"319","altaaf","courtesies","الطاف","مهربانيو"
"320","ilhaam","revelation of god","الهام","تائيد"
"321","alfaaz","words","الفاظ","لفظ ني جمع"
"322","alag","different/separate","الگ","جدو هوئي- جدي چيز"
"323","allah","allah","الله","خدا تعالى نو نام"
"324","al moizziyatul qahera","cairo in egypt","المعزية القاهرة","امام معز  ع م يه  مصر ما  جه شهر بنايو"
"325","aleem","painful","اليم","دردناك"
"326","imam uz zamaan","imam a.s. of  present times","امام الزمان","زمان نا  امام ع م"
"327","amaan","peace","امان","امان هوؤ"
"328","amaanat","trust, someone else's property with you","امانة","كوئي ني تهاپن موكيلي چيز"
"329","amaani","wishes","اماني","اميدو"
"330","ummat","nation","امة","قوم"
"331","amate syedna","amat of syedna tus","امة سيدناط ع","مولىْ   ط ع  ني  باندي- غلام"
"332","imtehaan","exam","امتحان","اختبار، خبر ليوؤ"
"333","imtedaad","extension","امتداد","لمبان تهاوؤ"
"334","imtenaan","gratitute","امتنان","احسان"
"335","amar","matter/command","امر","فرمان - حالة"
"336","imhaal","grace","امهال","دهيلا موكوؤ، مهلة اٰپوؤ"
"337","imkaan","possibility","امكان","كئي چيز نے كروؤ ممكن  تهاوؤ"
"338","amal","wish","امل-امال","اُميد"
"339","imlaa","dictation","املاء","لكهاؤ"
"340","aman","peace","امن","امان هوؤ"
"341","umoor","matters","امور","حالات"
"342","ummeed","wish","اميد","تمنىْ   -   اٰرزو"
"343","ameer","rich/leader","امير","مالدرا  -  سردار"
"344","ameer ul juyush","commander in chief of the army","امير الجيوش","لشكر نا امير"
"345","ameerul mumineen","one of the titles of moulana ali sa","امير المؤمنين","مولانا علي ع م نو خطاب"
"346","anaaj","grains","اناج","گهو  انے اهني مثل نا دانه ؤ"
"347","ananas","pineapple","انانس","پهل نو نام چهے"
"348","ananiyat","egoism","انانية","خود پسندي"
"349","anbiyaa","plural form of nabi","انبياء","نبي  ني جمع"
"350","intekhaab","election, selection","انتخاب","چنوؤ"
"351","intezar","waiting","انتظار","وار جوؤو"
"352","intezaam","preparation, arrangement","انتظام","كئي چيز نو بندوبست كروؤ"
"353","inteqaam","revenge","انتقام","كوئي نا بد عمل نو بدلو ليوؤ"
"354","intehaa","ending","انتهاء","كئي چيز نو اختتام"
"355","anjaam","end result","انجام","كئي عمل نو نتيجة"
"356","anjeer","fig","انجير","پهل نو نام چهے"
"357","injeel","the holy book revealed to moulana essa as","انجيل","خدا نا وه كتاب جه عيسىْ ع م پر نازل تهيا"
"358","andaaz","style, manner of approach","انداز","اسلوب، كئي عمل كروا نو طريقه"
"359","undaan","depth","اندان","كئي چيز نو عمق"
"360","andar","inside","اندر","كئي چيز ما هوؤ"
"361","andhaaru","darkness","اندهارو","روشني ني كمي هوؤ"
"362","andaaz","warning","انذار","بيناوؤ، يا خبردار كروؤ"
"363","insaan","human","انسان","اٰدمي"
"364","insaaniyat","humanity","انسانية","انسان نا اقدار"
"365","anasat","to be comfortable with so","انسة","تسلي"
"366","insha","essay/to write poem","انشاء","مضمون/ نظم لكهوو"
"367","inshallah","if allah wants","انشاء الله","جو الله چاهے تو"
"368","ansaar","helpers","انصار","ياري دينار لوگو-  رسول الله صلع نا زمان ما مدينة ما رهنار لوگو"
"369","insaaf","justice","انصاف","عدل نو فيصلة"
"370","in'aam","present, gift","انعام","كوئي جيت ني خوشي ما  هدية اٰپوؤ"
"371","inferaadi","individual","انفرادي","ذاتي، جه اكيلا تهائي"
"372","inqeta'","break","انقطاع","توتي جاوؤ"
"373","inkaar","denial","انكار","كئي وات نے مانوا سي منع كري ديوؤ"
"374","anginat","countless","انگنت","جه ني گنتي نه تهئي سكے"
"375","angwa","parts of body","انگوا","جسم نا مختلف اعضاء جيم هاتهـ، ناك..."
"376","angutho","thumb","انگوتهو","انسان نا هاتهـ ني ناهني انے جاري اٰنگلي جه اشارة نا اٰنگي نا بازو ما هوئي چهے"
"377","anguthi","ring","انگوتهي","زيور جه  اٰنگلي ما پهنوا  ما اٰوے چهے"
"378","aankh","eye","انكهـ","جه عضو سي انسان ديكهي سكے چهے"
"379","ankeh kerwu","to confirm","انكه كروؤ","كئي چيز ني تصديق كروي"
"380","anmol","invaluable","انمول","لاقيمتي"
"381","anhaar","streams, rivers","انهار","نهر ني جمع"
"382","anwaar","lights","انوار","نور ني جمع"
"383","ohbat","preparation","اهبة","تياري"
"384","ihtemaam","heed","اهتمام","اعتناء سي كئي واسطے تياري كروؤ"
"385","ahl","deserving, qualified/people","اهل","سازوار هوؤ/گهر نا لوگو"
"386","ahlul bait","household","اهل البيت","گهر نا لوگو"
"387","ahlul kitaab","people who follow scriptures of anbiyah","اهل الكتاب","انبياء  ع م نے مانناراو جه سگلا پر خدا طرف سي كتاب نازل تهئي چهے"
"388","ahlul wala","momineen","اهل الولاء","ولاية نا لوگو"
